"index","title","filename","absolute_path"
"138","Taking a chance on love","Taking a chance on love - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Taking a chance on love - Jazz Lead Sheet.pdf"
"139","Tangerine","Tangerine - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Tangerine - Jazz Lead Sheet.pdf"
"140","Tea for Two","Tea for Two - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Tea for Two - Jazz Lead Sheet.pdf"
"141","Teach Me Tonight","Teach Me Tonight - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Teach Me Tonight - Jazz Lead Sheet.pdf"
"142","Tenor Madness","Tenor Madness - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Tenor Madness - Jazz Lead Sheet.pdf"
"143","That Old Feeling","That Old Feeling - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/That Old Feeling - Jazz Lead Sheet.pdf"
"144","The Frim Fram Sauce","The Frim Fram Sauce - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/The Frim Fram Sauce - Jazz Lead Sheet.pdf"
"145","The Girl From Ipanema","The Girl From Ipanema - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/The Girl From Ipanema - Jazz Lead Sheet.pdf"
"146","The Lamp is Low","The Lamp is Low - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/The Lamp is Low - Jazz Lead Sheet.pdf"
"147","The Nearness of You","The Nearness of You - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/The Nearness of You - Jazz Lead Sheet.pdf"
"148","The Sheik of Araby","The Sheik of Araby - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/The Sheik of Araby - Jazz Lead Sheet.pdf"
"149","The Time and the Place","The Time and the Place - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/The Time and the Place - Jazz Lead Sheet.pdf"
"150","There is no greater love","There is no greater love - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/There is no greater love - Jazz Lead Sheet.pdf"
"151","There will never be another you","There will never be another you - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/There will never be another you - Jazz Lead Sheet.pdf"
"152","Things Ain't What They Used To Be","Things Ain't What They Used To Be - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Things Ain't What They Used To Be - Jazz Lead Sheet.pdf"
"153","Till Tom Special","Till Tom Special - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Till Tom Special - Jazz Lead Sheet.pdf"
"154","Triste","Triste - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Triste - Jazz Lead Sheet.pdf"
"155","Undecided","Undecided - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Undecided - Jazz Lead Sheet.pdf"
"156","Watermelon Man","Watermelon Man - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Watermelon Man - Jazz Lead Sheet.pdf"
"157","Wave","Wave - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Wave - Jazz Lead Sheet.pdf"
"158","Willow Weep For Me","Willow Weep For Me - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Willow Weep For Me - Jazz Lead Sheet.pdf"
"159","Work Song","Work Song - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Work Song - Jazz Lead Sheet.pdf"
"160","Yardbird Suite","Yardbird Suite - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Yardbird Suite - Jazz Lead Sheet.pdf"
"161","Yesterday","Yesterday - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Yesterday - Jazz Lead Sheet.pdf"
"162","Yesterdays","Yesterdays - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Yesterdays - Jazz Lead Sheet.pdf"
